Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2019-03-03T07:24:54.686Z, forearms, l, 82.17383, 124.7093, 10
2019-03-03T07:24:33.085Z, forearms, r, 90.10561, 127.61642, 10.1
2019-03-03T07:24:18.512Z, chest, l, 99.4431, 168.5372, 8.3
2019-03-03T07:23:52.320Z, chest, r, 99.02327, 162.9551, 8.9
2019-03-03T07:23:29.462Z, calves, l, 95.87188, 135.18906, 11.1
2019-03-03T07:22:48.152Z, calves, r, 97.33793, 137.22385, 10
2019-03-03T07:22:24.526Z, biceps, l, 89.6234, 134.72055, 11.2
2019-03-03T07:22:08.236Z, biceps, r, 93.6514, 137.50519, 10.6
2019-03-03T07:21:48.123Z, abs, l, 98.68107, 166.54233, 7.1
2019-03-03T07:21:31.610Z, abs, r, 99.046555, 170.54909, 6.9
2019-02-24T07:25:24.488Z, total, r, 99.4091, 161.60085, 9
2019-02-24T07:25:22.567Z, upper_back, l, 99.14308, 157.0636, 7.7
2019-02-24T07:24:57.952Z, upper_back, r, 98.48275, 153.97488, 7.9
2019-02-24T07:23:49.817Z, triceps, l, 98.429306, 157.97978, 9.5
2019-02-24T07:23:28.180Z, triceps, r, 97.62991, 154.73654, 9.8
2019-02-24T07:23:02.575Z, shoulders, l, 96.788185, 145.23962, 10.2
2019-02-24T07:22:45.292Z, shoulders, r, 98.98287, 152.78839, 9
2019-02-24T07:22:28.821Z, quads, l, 99.043175, 165.23364, 8.1
2019-02-24T07:22:00.430Z, quads, r, 98.87515, 163.6557, 8.4
2019-02-24T07:21:46.749Z, lower_back, l, 99.07634, 153.95946, 8.7
2019-02-24T07:21:26.272Z, lower_back, r, 98.81967, 151.94507, 9.3
2019-02-24T07:21:10.522Z, hamstrings, l, 99.6221, 162.73071, 8.2
2019-02-24T07:20:51.530Z, hamstrings, r, 99.4558, 160.05632, 8.7
2019-02-24T07:20:35.154Z, glutes, l, 98.63488, 142.07184, 10.7
2019-02-24T07:20:15.717Z, glutes, r, 98.67557, 142.30667, 10.5
2019-02-24T07:19:54.792Z, forearms, l, 79.04821, 123.71446, 10.2
2019-02-24T07:19:39.807Z, forearms, r, 96.03949, 131.17679, 9
2019-02-24T07:19:21.401Z, chest, l, 98.99337, 162.65361, 8.9
2019-02-24T07:19:03.986Z, chest, r, 99.68538, 174.1644, 8
2019-02-24T07:18:13.268Z, calves, l, 98.834755, 140.90215, 8.7
2019-02-24T07:17:48.974Z, calves, r, 97.19954, 136.99268, 9.7
2019-02-24T07:17:17.155Z, biceps, l, 94.67264, 138.42892, 10.8
2019-02-24T07:17:00.283Z, biceps, r, 97.20147, 141.64264, 9.8
2019-02-24T07:16:44.933Z, abs, l, 99.0014, 169.98, 6.8
2019-02-24T07:16:24.905Z, abs, r, 98.66696, 166.41032, 7.4
2019-02-17T07:18:19.357Z, upper_back, l, 99.18958, 157.36275, 7.8
2019-02-17T07:17:45.337Z, upper_back, r, 98.38417, 153.63092, 8.4
2019-02-17T07:17:17.249Z, total, r, 99.58478, 164.45909, 8.6
2019-02-17T07:17:07.310Z, triceps, l, 98.63427, 159.06839, 9
2019-02-17T07:16:47.375Z, triceps, r, 98.89164, 160.68423, 8.9
2019-02-17T07:16:30.320Z, shoulders, l, 98.13964, 148.87802, 9.7
2019-02-17T07:16:14.884Z, shoulders, r, 98.38394, 149.79782, 9.8
2019-02-17T07:15:53.604Z, quads, l, 98.78409, 162.89392, 8.7
2019-02-17T07:15:06.847Z, quads, r, 99.0237, 165.03743, 8.1
2019-02-17T07:14:50.826Z, lower_back, l, 98.53164, 150.13867, 9.2
2019-02-17T07:14:33.721Z, lower_back, r, 98.06272, 147.82361, 10.2
2019-02-17T07:13:57.143Z, hamstrings, l, 98.95674, 155.24573, 9.4
2019-02-17T07:13:37.570Z, hamstrings, r, 99.45184, 160.00296, 9.4
2019-02-17T07:13:17.769Z, glutes, l, 95.769005, 133.00983, 13.5
2019-02-17T07:12:51.620Z, glutes, r, 93.23676, 128.94116, 13.4
2019-02-17T07:12:21.071Z, forearms, l, 78.6557, 123.59671, 10.3
2019-02-17T07:12:04.196Z, forearms, r, 96.46204, 131.58134, 9.1
2019-02-17T07:11:47.771Z, chest, l, 99.47542, 169.12817, 8.9
2019-02-17T07:11:20.450Z, chest, r, 99.616264, 172.21121, 8.3
2019-02-17T07:10:49.539Z, calves, l, 94.06444, 133.426, 10.9
2019-02-17T07:10:29.470Z, calves, r, 96.879036, 136.49538, 10.5
2019-02-17T07:10:12.418Z, biceps, l, 94.8277, 138.58192, 10.3
2019-02-17T07:09:53.601Z, biceps, r, 95.59926, 139.40749, 10.2
2019-02-17T07:09:38.443Z, abs, l, 97.34543, 157.72711, 8.2
2019-02-17T07:09:17.743Z, abs, r, 98.7944, 167.65561, 7
2019-02-10T06:51:43.093Z, upper_back, l, 99.06985, 156.62323, 8
2019-02-10T06:51:10.382Z, upper_back, r, 97.764084, 151.84021, 8.5
2019-02-10T06:50:42.254Z, total, r, 99.52043, 163.29347, 8.6
2019-02-10T06:50:28.037Z, triceps, l, 97.770874, 155.22446, 10.7
2019-02-10T06:50:04.318Z, triceps, r, 98.525734, 158.47375, 9.8
2019-02-10T06:49:39.657Z, shoulders, l, 98.28269, 149.40149, 9.7
2019-02-10T06:49:17.748Z, shoulders, r, 98.56173, 150.55511, 9.9
2019-02-10T06:49:02.361Z, quads, l, 99.08436, 165.66159, 8.6
