Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2018-04-08T06:40:55.657Z, hamstrings, r, 99.688225, 164.13724, 8.6
2018-04-08T06:40:18.670Z, glutes, l, 99.75206, 155.07928, 9.1
2018-04-08T06:39:33.315Z, glutes, r, 99.57032, 150.92099, 10.3
2018-04-08T06:39:07.035Z, forearms, l, 87.7043, 126.6401, 10.4
2018-04-08T06:38:46.509Z, forearms, r, 93.31272, 129.21863, 9.9
2018-04-08T06:38:31.166Z, chest, l, 99.34927, 166.99591, 8.8
2018-04-08T06:37:23.892Z, chest, r, 99.78826, 178.05063, 7.6
2018-04-08T06:35:44.226Z, calves, l, 99.10005, 142.02904, 8.7
2018-04-08T06:35:27.440Z, calves, r, 99.1126, 142.09009, 9.3
2018-04-08T06:35:01.342Z, biceps, l, 85.57012, 132.57455, 12.1
2018-04-08T06:34:43.204Z, biceps, r, 87.490654, 133.54317, 11.6
2018-04-08T06:34:26.736Z, abs, l, 99.55568, 179.8671, 6.1
2018-04-08T06:33:55.182Z, abs, r, 99.58753, 180.76935, 6
2018-04-01T06:55:07.194Z, total, r, 99.6397, 165.60529, 8.6
2018-04-01T06:55:01.050Z, upper_back, l, 98.59659, 154.39984, 8
2018-04-01T06:54:14.933Z, upper_back, r, 98.867805, 155.56403, 7.8
2018-04-01T06:53:39.066Z, triceps, l, 98.32726, 157.48776, 11.8
2018-04-01T06:53:13.456Z, triceps, r, 98.93525, 160.99367, 10.1
2018-04-01T06:52:49.070Z, shoulders, l, 98.969215, 152.7028, 9.5
2018-04-01T06:52:23.782Z, shoulders, r, 99.38075, 155.95328, 9.1
2018-04-01T06:51:52.144Z, quads, l, 99.1228, 166.0784, 8.8
2018-04-01T06:51:15.205Z, quads, r, 98.6114, 161.58984, 9.3
2018-04-01T06:50:50.590Z, lower_back, l, 99.85932, 169.17328, 7.6
2018-04-01T06:50:29.703Z, lower_back, r, 99.80192, 166.42401, 7.6
2018-04-01T06:49:23.426Z, hamstrings, l, 99.74907, 165.72253, 8
2018-04-01T06:48:49.678Z, hamstrings, r, 99.74213, 165.52335, 8.4
2018-04-01T06:48:27.084Z, glutes, l, 99.63305, 152.1164, 9.2
